date,mood,amount,category
Dec 31,happy,7.90,groceries  
Dec 30,anxious,41.25,health  
Dec 29,stressed,69.80,bills  
Dec 28,calm,9.60,savings  
Dec 27,sad,47.40,subscriptions  
Dec 26,lonely,31.85,eating out  
Dec 25,bored,26.45,shopping  
Dec 24,excited,18.90,shopping  
Dec 23,happy,6.55,groceries  
Dec 22,anxious,38.95,health  
Dec 21,stressed,70.50,health  
Dec 20,calm,10.80,bills  
Dec 19,bored,22.75,eating out  
Dec 18,sad,49.30,subscriptions  
Dec 17,lonely,32.60,eating out  
Dec 16,happy,7.25,groceries  
Dec 15,anxious,39.85,health  
Dec 14,calm,9.10,savings  
Dec 13,excited,20.40,shopping  
Dec 12,bored,24.55,shopping  
Dec 11,stressed,65.30,health  
Dec 10,calm,10.05,bills  
Dec 09,lonely,30.25,eating out  
Dec 08,happy,6.85,groceries  
Dec 07,sad,48.10,subscriptions  
Dec 06,anxious,36.75,health  
Dec 05,stressed,68.90,bills  
Dec 04,bored,21.90,shopping  
Dec 03,excited,17.75,shopping  
Dec 02,happy,8.15,groceries  
Dec 01,calm,10.20,savings  
Nov 30,sad,50.60,health  
Nov 29,anxious,40.50,eating out  
Nov 28,stressed,66.40,health  
Nov 27,bored,25.35,eating out  
Nov 26,lonely,29.80,subscriptions  
Nov 25,calm,8.95,bills  
Nov 24,happy,7.10,groceries  
Nov 23,excited,19.60,shopping  
Nov 22,sad,52.20,health  
Nov 21,anxious,37.95,health  
Nov 20,stressed,70.70,bills  
Nov 19,bored,23.60,shopping  
Nov 18,calm,9.70,savings  
Nov 17,lonely,34.45,eating out  
Nov 16,happy,6.65,groceries  
Nov 15,sad,46.25,subscriptions  
Nov 14,anxious,42.30,health  
Nov 13,bored,20.05,eating out  
Nov 12,excited,22.15,shopping  
Nov 11,stressed,67.90,health  
Nov 19,happy,8.35,groceries  
Nov 18,anxious,39.50,health  
Nov 17,stressed,66.20,bills  
Nov 16,calm,10.40,savings  
Nov 15,sad,45.90,subscriptions  
Nov 14,lonely,30.75,eating out  
Nov 13,bored,26.60,shopping  
Nov 12,excited,18.25,shopping  
Nov 11,happy,6.95,groceries  
Nov 10,anxious,37.80,health  
Nov 09,stressed,70.10,health  
Nov 08,calm,11.25,bills  
Nov 07,bored,21.00,eating out  
Nov 06,sad,49.75,subscriptions  
Nov 05,lonely,33.20,eating out  
Nov 04,happy,7.45,groceries  
Nov 03,anxious,40.60,health  
Nov 02,calm,9.30,savings  
Nov 01,excited,17.50,shopping  
Oct 31,bored,24.85,shopping  
Oct 30,stressed,63.40,health  
Oct 29,calm,10.10,bills  
Oct 28,lonely,29.95,eating out  
Oct 27,happy,6.80,groceries  
Oct 26,sad,46.90,subscriptions  
Oct 25,anxious,38.35,health  
Oct 24,stressed,67.00,bills  
Oct 23,bored,22.50,shopping  
Oct 22,excited,19.75,shopping  
Oct 21,happy,9.05,groceries  
Oct 20,calm,10.75,savings  
Oct 19,sad,50.20,health  
Oct 18,anxious,42.10,eating out  
Oct 17,stressed,64.90,health  
Oct 16,bored,20.25,eating out  
Oct 15,lonely,28.40,subscriptions  
Oct 14,calm,8.95,bills  
Oct 13,happy,7.15,groceries  
Oct 12,excited,20.80,shopping  
Oct 11,sad,51.35,health  
Oct 10,anxious,36.95,health  
Oct 09,stressed,69.20,bills  
Oct 08,bored,23.75,shopping  
Oct 07,calm,9.50,savings  
Oct 06,lonely,34.10,eating out  
Oct 05,happy,6.50,groceries  
Oct 04,sad,48.40,subscriptions  
Oct 03,anxious,39.60,health  
Oct 02,bored,25.90,eating out  
Oct 01,excited,21.25,shopping  
Sep 30,stressed,68.30,health  
Sep 29,excited,21.25,shopping  
Sep 28,bored,25.90,eating out  
Sep 27,anxious,39.60,health  
Sep 26,sad,48.40,subscriptions  
Sep 25,happy,6.50,groceries  
Sep 24,lonely,34.10,eating out  
Sep 23,calm,9.50,savings  
Sep 22,bored,23.75,shopping  
Sep 21,stressed,69.20,bills  
Sep 20,anxious,36.95,health  
Sep 19,sad,51.35,health  
Sep 18,excited,20.80,shopping  
Sep 17,happy,7.15,groceries  
Sep 16,calm,8.95,bills  
Sep 15,lonely,28.40,subscriptions  
Sep 14,bored,20.25,eating out  
Sep 13,stressed,64.90,health  
Sep 12,anxious,42.10,eating out  
Sep 11,sad,50.20,health  
Sep 10,calm,10.75,savings  
